neuron_name,region_UBERON,region_ABA,annotations_ABA,annotations_UBERON
"Neostriatum dopamine receptor D1-expressing, direct projecting, medium spiny neuron ",CP,CP,"[u'ABA_REGION:672', u'HBP_NEUROTRANSMITTER:0000007', 'Function:receptor', 'Missing:D1-expressing, direct projecting,', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:672', u'HBP_NEUROTRANSMITTER:0000007', 'Function:receptor', 'Missing:D1-expressing, direct projecting,', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
Subiculum Regular-Spiking Pyramidal Cell,SUB,SUB,"[u'ABA_REGION:502', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:502', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']"
Subiculum Burst-Spiking Pyramidal Cell,SUB,SUB,"[u'ABA_REGION:502', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:502', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']"
Hypoglossal nucleus motor neuron,XII,XII,"[u'ABA_REGION:773', 'Function:motor']","[u'ABA_REGION:773', 'Function:motor']"
Neostriatum medium spiny neuron,CP,CP,"[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA3 lacunosum-moleculare interneuron,CA3,CA3,"[u'ABA_REGION:463', 'Missing:lacunosum-moleculare']","[u'ABA_REGION:463', 'Missing:lacunosum-moleculare']"
Hippocampus CA3 radiatum interneuron,CA3,CA3,"[u'ABA_REGION:463', 'Missing:radiatum']","[u'ABA_REGION:463', 'Missing:radiatum']"
Layer 2-3 and 5 medial prefrontal cortex prelimibic and infralimbic pyramidal neurons,medial prefrontal cortex,ORB,"[u'HBP_LAYER:0000111', 'Missing:and 5', u'UNKN_REGION:491', 'Missing:prelimibic and infralimbic', u'HBP_MORPHOLOGY:0000001']","[u'HBP_LAYER:0000111', 'Missing:and 5', u'ABA_REGION:714', 'Missing:prelimibic and infralimbic', 'Missing:prelimibic and infralimbic', u'HBP_MORPHOLOGY:0000001']"
Neocortex uncharacterized cell,Isocortex,Isocortex,"[u'ABA_REGION:315', 'Missing:uncharacterized']","[u'ABA_REGION:315', 'Missing:uncharacterized']"
Olfactory bulb (main) granule cell,,MOB,"['Function:Olfactory', 'Missing:bulb (main)', u'HBP_MORPHOLOGY:0000026']","[u'ABA_REGION:507', 'Missing:(main)', u'HBP_MORPHOLOGY:0000026']"
Layer 2-3 auditory cortex pyramidal neurons ,AUD,AUD,"[u'HBP_LAYER:0000111', u'ABA_REGION:247', u'HBP_MORPHOLOGY:0000001']","[u'HBP_LAYER:0000111', u'ABA_REGION:247', u'HBP_MORPHOLOGY:0000001']"
Layer 2-3 auditory cortex pyramidal neurons ,AUD,AUD,"[u'HBP_LAYER:0000111', u'ABA_REGION:247', u'HBP_MORPHOLOGY:0000001']","[u'HBP_LAYER:0000111', u'ABA_REGION:247', u'HBP_MORPHOLOGY:0000001']"
Layer 2-3 auditory cortex pyramidal neurons ,AUD,AUD,"[u'HBP_LAYER:0000111', u'ABA_REGION:247', u'HBP_MORPHOLOGY:0000001']","[u'HBP_LAYER:0000111', u'ABA_REGION:247', u'HBP_MORPHOLOGY:0000001']"
Cerebellum Purkinje cell,CB,CB,"[u'ABA_REGION:512', u'HBP_MORPHOLOGY:0000036']","[u'ABA_REGION:512', u'HBP_MORPHOLOGY:0000036']"
Prefrontal Cortex Layer 5 Pyramidal Neurons,prefrontal cortex,ORB,"[u'UNKN_REGION:5765', u'HBP_LAYER:0000005', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:714', u'HBP_LAYER:0000005', u'HBP_MORPHOLOGY:0000001']"
Pudendal motor neurons of ventral horn,pudendal ventral horn,pudendal ventral horn,"[u'UNKN_REGION:55', 'Function:motor', 'Missing:of', u'UNKN_REGION:240']","[u'UNKN_REGION:55', 'Function:motor', 'Missing:of', u'UNKN_REGION:240']"
spinal cord lamina I GABAergic interneurons,spinal cord lamina i,spinal cord lamina i,"[u'UNKN_REGION:4645', u'UNKN_REGION:3510', u'HBP_NEUROTRANSMITTER:0000003']","[u'UNKN_REGION:4645', u'UNKN_REGION:3510', u'HBP_NEUROTRANSMITTER:0000003']"
Inferior olive neuron,IO,IO,[u'ABA_REGION:83'],[u'ABA_REGION:83']
Cerebellum vermis II-VIII lobules Purkinje cell,VERM,CB VERM,"[u'ABA_REGION:645', 'Missing:II-VIII lobules', u'HBP_MORPHOLOGY:0000036']","[u'ABA_REGION:512', u'ABA_REGION:645', 'Missing:II-VIII lobules', u'HBP_MORPHOLOGY:0000036']"
Inferior colliculus neuron,IC,IC,[u'ABA_REGION:4'],[u'ABA_REGION:4']
Cerebellum granule cell,CB,CB,"[u'ABA_REGION:512', u'HBP_MORPHOLOGY:0000026']","[u'ABA_REGION:512', u'HBP_MORPHOLOGY:0000026']"
Neocortex basket cell,Isocortex,Isocortex,"[u'ABA_REGION:315', u'HBP_MORPHOLOGY:0000019']","[u'ABA_REGION:315', u'HBP_MORPHOLOGY:0000019']"
Neocortex basket cell,Isocortex,Isocortex,"[u'ABA_REGION:315', u'HBP_MORPHOLOGY:0000019']","[u'ABA_REGION:315', u'HBP_MORPHOLOGY:0000019']"
barrel cortex layer 6a corticocortical pyramidal neuron with infragranular arborization axons,SSp-bfd infragranular,SSp-bfd infragranular,"[u'ABA_REGION:329', u'HBP_LAYER:0000060', 'HBP_PROJECTION:7323', u'HBP_MORPHOLOGY:0000001', 'Missing:with', u'UNKN_REGION:7269', 'Missing:arborization axons']","[u'ABA_REGION:329', u'HBP_LAYER:0000060', 'HBP_PROJECTION:7323', u'HBP_MORPHOLOGY:0000001', 'Missing:with', u'UNKN_REGION:7269', 'Missing:arborization axons']"
Layer 6a barrel cortex pyramidal corticothalamic neuron with large terminal arbors,SSp-bfd,SSp-bfd,"[u'HBP_LAYER:0000060', u'ABA_REGION:329', u'HBP_MORPHOLOGY:0000001', 'HBP_PROJECTION:113', 'Missing:with', 'Size:large', 'Missing:terminal arbors']","[u'HBP_LAYER:0000060', u'ABA_REGION:329', u'HBP_MORPHOLOGY:0000001', 'HBP_PROJECTION:113', 'Missing:with', 'Size:large', 'Missing:terminal arbors']"
L4-projecting L6 inhibitory corticocortical infragranular laminae neurons of the barrel cortex,infragranular SSp-bfd,infragranular SSp-bfd CTX,"[u'HBP_LAYER:0000004', 'Missing:-projecting', u'HBP_LAYER:0000006', 'Function:inhibitory', 'HBP_PROJECTION:7323', u'UNKN_REGION:7269', 'Missing:laminae', 'Missing:laminae', 'Missing:of the', u'ABA_REGION:329']","[u'HBP_LAYER:0000004', 'Missing:-projecting', u'HBP_LAYER:0000006', 'Function:inhibitory', 'HBP_PROJECTION:7323', u'UNKN_REGION:7269', 'Missing:laminae', 'Missing:laminae', 'Missing:of the', u'ABA_REGION:329', u'ABA_REGION:688']"
"Corticocortical L6-projecting, L6 inhibitory infragranular laminae neurons of the barrel cortex",infragranular SSp-bfd,infragranular SSp-bfd CTX,"['HBP_PROJECTION:7323', u'HBP_LAYER:0000006', 'Missing:-projecting,', u'HBP_LAYER:0000006', 'Function:inhibitory', u'UNKN_REGION:7269', 'Missing:laminae', 'Missing:laminae', 'Missing:of the', u'ABA_REGION:329']","['HBP_PROJECTION:7323', u'HBP_LAYER:0000006', 'Missing:-projecting,', u'HBP_LAYER:0000006', 'Function:inhibitory', u'UNKN_REGION:7269', 'Missing:laminae', 'Missing:laminae', 'Missing:of the', u'ABA_REGION:329', u'ABA_REGION:688']"
DRG temperature cell,,,['Missing:DRG temperature'],['Missing:DRG temperature']
Dorsal root ganglion cell,dorsal root ganglion,dorsal root ganglion,[u'UNKN_REGION:7287'],[u'UNKN_REGION:7287']
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Ventromedial dorsal raphe non-serotonergic neuron,ventromedial DR,ventromedial DR,"[u'UNKN_REGION:57', u'ABA_REGION:872', u'HBP_NEUROTRANSMITTER:0000002']","[u'UNKN_REGION:57', u'ABA_REGION:872', u'HBP_NEUROTRANSMITTER:0000002']"
Ventromedial dorsal raphe serotonergic neuron,ventromedial DR,ventromedial DR,"[u'UNKN_REGION:57', u'ABA_REGION:872', u'HBP_NEUROTRANSMITTER:0000001']","[u'UNKN_REGION:57', u'ABA_REGION:872', u'HBP_NEUROTRANSMITTER:0000001']"
Olfactory bulb (main) Blanes cell,,MOB,"['Function:Olfactory', 'Missing:bulb (main)', u'HBP_MORPHOLOGY:0000033']","[u'ABA_REGION:507', 'Missing:(main)', u'HBP_MORPHOLOGY:0000033']"
"Trigeminal motor nucleus fusiform glutamatergic, GABAergic and glycinergic axonal projecting interneurons",V,trigeminal,"[u'ABA_REGION:621', u'HBP_MORPHOLOGY:0000023', u'HBP_NEUROTRANSMITTER:0000004', 'Missing:,', u'HBP_NEUROTRANSMITTER:0000003', 'Missing:and', u'HBP_NEUROTRANSMITTER:0000008', 'Missing:axonal projecting']","[u'UNKN_REGION:8', 'Function:motor', 'Missing:nucleus', u'HBP_MORPHOLOGY:0000023', u'HBP_NEUROTRANSMITTER:0000004', 'Missing:,', u'HBP_NEUROTRANSMITTER:0000003', 'Missing:and', u'HBP_NEUROTRANSMITTER:0000008', 'Missing:axonal projecting']"
Trigeminal nucleus motor neuron,trigeminal,trigeminal,"[u'UNKN_REGION:8', 'Missing:nucleus', 'Function:motor']","[u'UNKN_REGION:8', 'Missing:nucleus', 'Function:motor']"
BNST common spiny neuron,,,"['Missing:BNST common', u'HBP_MORPHOLOGY:0000011']","['Missing:BNST common', u'HBP_MORPHOLOGY:0000011']"
Ventral tegmental area dopamine neuron,VTA,VTA,"[u'ABA_REGION:749', u'HBP_NEUROTRANSMITTER:0000007']","[u'ABA_REGION:749', u'HBP_NEUROTRANSMITTER:0000007']"
Nucleus accumbens medium spiny neuron,ACB,ACB,"[u'ABA_REGION:56', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:56', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
Neostriatum  D1 dopamine receptor EGFP expressing medium spiny neuron,CP,CP,"[u'ABA_REGION:672', 'Missing:D1', u'HBP_NEUROTRANSMITTER:0000007', 'Function:receptor', 'Missing:EGFP expressing', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:672', 'Missing:D1', u'HBP_NEUROTRANSMITTER:0000007', 'Function:receptor', 'Missing:EGFP expressing', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
Neostriatum  D2 dopamine receptor EGFP expressing medium spiny neuron,CP,CP,"[u'ABA_REGION:672', 'Missing:D2', u'HBP_NEUROTRANSMITTER:0000007', 'Function:receptor', 'Missing:EGFP expressing', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:672', 'Missing:D2', u'HBP_NEUROTRANSMITTER:0000007', 'Function:receptor', 'Missing:EGFP expressing', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
Hypoglossal nucleus motor neuron,XII,XII,"[u'ABA_REGION:773', 'Function:motor']","[u'ABA_REGION:773', 'Function:motor']"
stratum griseum superficiale of superior colliculus interneuron,SCsg,SCsg,[u'ABA_REGION:842'],"[u'ABA_REGION:842', 'Missing:of', 'Missing:of', 'Missing:superior colliculus']"
Amygdala basolateral nucleus pyramidal neuron,basolateral,BLA,"['Missing:Amygdala', u'UNKN_REGION:24', 'Missing:nucleus', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:295', u'HBP_MORPHOLOGY:0000001']"
Neostriatum medium spiny neuron,CP,CP,"[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
frontal cortex layer V-VI parvalbumin-positive GABAergic interneurons,frontal cortex,ORB,"[u'UNKN_REGION:5116', u'HBP_LAYER:0000141', u'NCBI_GENE:19293', u'HBP_NEUROTRANSMITTER:0000003']","[u'ABA_REGION:714', u'HBP_LAYER:0000141', u'NCBI_GENE:19293', u'HBP_NEUROTRANSMITTER:0000003']"
frontal cortex layer VI small pyramidal cells,frontal cortex,ORB,"[u'UNKN_REGION:5116', u'HBP_LAYER:0000006', 'Size:small', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:714', u'HBP_LAYER:0000006', 'Size:small', u'HBP_MORPHOLOGY:0000001']"
small dorsal root ganglion,dorsal root ganglion,dorsal root ganglion,"['Size:small', u'UNKN_REGION:7287', u'HBP_MORPHOLOGY:0000058']","['Size:small', u'UNKN_REGION:7287', u'HBP_MORPHOLOGY:0000058']"
Dentate gyrus hilar cell,DG hilar,DG hilar,"[u'ABA_REGION:726', u'UNKN_REGION:7278']","[u'ABA_REGION:726', u'UNKN_REGION:7278']"
Deep Cerebellar Nucleus non-GABAergic small neuron,,CB,"['Missing:Deep Cerebellar Nucleus non-', u'HBP_NEUROTRANSMITTER:0000003', 'Size:small']","['Missing:Deep', u'ABA_REGION:512', 'Missing:Nucleus non-', u'HBP_NEUROTRANSMITTER:0000003', 'Size:small']"
Deep Cerebellar Nucleus non-GABAergic large neuron ,,CB,"['Missing:Deep Cerebellar Nucleus non-', u'HBP_NEUROTRANSMITTER:0000003', 'Size:large']","['Missing:Deep', u'ABA_REGION:512', 'Missing:Nucleus non-', u'HBP_NEUROTRANSMITTER:0000003', 'Size:large']"
Deep Cerebellar Nucleus GABAergic GAD67-expressingsmall neuron,,CB,"['Missing:Deep Cerebellar Nucleus', u'HBP_NEUROTRANSMITTER:0000003', u'NCBI_GENE:14415', 'Size:small']","['Missing:Deep', u'ABA_REGION:512', 'Missing:Nucleus', u'HBP_NEUROTRANSMITTER:0000003', u'NCBI_GENE:14415', 'Size:small']"
prefrontal cortex neurogliaform Inhibitory Neuron,prefrontal cortex,ORB,"[u'UNKN_REGION:5765', u'HBP_MORPHOLOGY:0000020', 'Function:Inhibitory']","[u'ABA_REGION:714', u'HBP_MORPHOLOGY:0000020', 'Function:Inhibitory']"
prefrontal cortex neurogliaform Inhibitory Neuron,prefrontal cortex,ORB,"[u'UNKN_REGION:5765', u'HBP_MORPHOLOGY:0000020', 'Function:Inhibitory']","[u'ABA_REGION:714', u'HBP_MORPHOLOGY:0000020', 'Function:Inhibitory']"
somatosensory cortex layer V thick tufted pyramidal cell,SS,SS,"[u'ABA_REGION:453', u'HBP_LAYER:0000005', u'HBP_MORPHOLOGY:0000014', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:453', u'HBP_LAYER:0000005', u'HBP_MORPHOLOGY:0000014', u'HBP_MORPHOLOGY:0000001']"
somatosensory cortex layer V corticocallosal projecting pyramidal cell,SS,SS,"[u'ABA_REGION:453', u'HBP_LAYER:0000005', 'Missing:corticocallosal', 'Missing:projecting', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:453', u'HBP_LAYER:0000005', 'Missing:corticocallosal', 'Missing:projecting', u'HBP_MORPHOLOGY:0000001']"
Olfactory bulb (main) mitral cell,,MOB,"['Function:Olfactory', 'Missing:bulb (main)', u'HBP_MORPHOLOGY:0000030']","[u'ABA_REGION:507', 'Missing:(main)', u'HBP_MORPHOLOGY:0000030']"
Olfactory bulb (main) external tufted cell,,MOB,"['Function:Olfactory', 'Missing:bulb (main) external', u'HBP_MORPHOLOGY:0000031']","[u'ABA_REGION:507', 'Missing:(main) external', u'HBP_MORPHOLOGY:0000031']"
Substantia pars nigra reticulata GABAergic parvalbumin-positive calretinin-positive neurons,,,"['Missing:Substantia pars nigra reticulata', u'HBP_NEUROTRANSMITTER:0000003', u'NCBI_GENE:19293', u'NCBI_GENE:12308']","['Missing:Substantia pars nigra reticulata', u'HBP_NEUROTRANSMITTER:0000003', u'NCBI_GENE:19293', u'NCBI_GENE:12308']"
Substantia pars nigra reticulata GABAergic  neurons,,,"['Missing:Substantia pars nigra reticulata', u'HBP_NEUROTRANSMITTER:0000003', 'Missing:']","['Missing:Substantia pars nigra reticulata', u'HBP_NEUROTRANSMITTER:0000003', 'Missing:']"
Substantia pars nigra reticulata GABAergic parvalbumin-positive neurons,,,"['Missing:Substantia pars nigra reticulata', u'HBP_NEUROTRANSMITTER:0000003', u'NCBI_GENE:19293']","['Missing:Substantia pars nigra reticulata', u'HBP_NEUROTRANSMITTER:0000003', u'NCBI_GENE:19293']"
Substantia pars nigra reticulata GABAergic calretinin-positive neurons,,,"['Missing:Substantia pars nigra reticulata', u'HBP_NEUROTRANSMITTER:0000003', u'NCBI_GENE:12308']","['Missing:Substantia pars nigra reticulata', u'HBP_NEUROTRANSMITTER:0000003', u'NCBI_GENE:12308']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Basolateral Amygdala Parvalbumin-Positive Accommodating Interneurons,basolateral,BLA,"[u'UNKN_REGION:24', 'Missing:Amygdala', u'NCBI_GENE:19293', u'HBP_EPHYS_TRIGGER:0000001']","[u'ABA_REGION:295', u'NCBI_GENE:19293', u'HBP_EPHYS_TRIGGER:0000001']"
Basolateral Amygdala Parvalbumin-Positive Fast Spiking Interneurons,basolateral,BLA,"[u'UNKN_REGION:24', 'Missing:Amygdala', u'NCBI_GENE:19293', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:295', u'NCBI_GENE:19293', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Basolateral Amygdala Parvalbumin-Positive Stuttering Interneurons,basolateral,BLA,"[u'UNKN_REGION:24', 'Missing:Amygdala', u'NCBI_GENE:19293', u'HBP_EPHYS_TRIGGER:0000006']","[u'ABA_REGION:295', u'NCBI_GENE:19293', u'HBP_EPHYS_TRIGGER:0000006']"
Basolateral Amygdala Parvalbumin-Positive Delayed Firing Interneurons,basolateral,BLA,"[u'UNKN_REGION:24', 'Missing:Amygdala', u'NCBI_GENE:19293', u'HBP_EPHYS:0000020', u'HBP_EPHYS_TRIGGER:0000004']","[u'ABA_REGION:295', u'NCBI_GENE:19293', u'HBP_EPHYS:0000020', u'HBP_EPHYS_TRIGGER:0000004']"
Amygdala basolateral nucleus pyramidal neuron,basolateral,BLA,"['Missing:Amygdala', u'UNKN_REGION:24', 'Missing:nucleus', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:295', u'HBP_MORPHOLOGY:0000001']"
Amygdala basolateral nucleus interneuron,basolateral,BLA,"['Missing:Amygdala', u'UNKN_REGION:24', 'Missing:nucleus']",[u'ABA_REGION:295']
Thalamus relay cell,TH,TH,"[u'ABA_REGION:549', 'Function:relay']","[u'ABA_REGION:549', 'Function:relay']"
Inferior colliculus neuron,IC,IC,[u'ABA_REGION:4'],[u'ABA_REGION:4']
Inferior colliculus neuron,IC,IC,[u'ABA_REGION:4'],[u'ABA_REGION:4']
Inferior colliculus neuron,IC,IC,[u'ABA_REGION:4'],[u'ABA_REGION:4']
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Neostriatum medium spiny neuron,CP,CP,"[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
medial vestibular nucleus glutamatergic or glycinergic neuron Thy1-YFP,MV,MV,"[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000004', 'Missing:or', u'HBP_NEUROTRANSMITTER:0000008', u'Missing:YFP', 'MOUSE_LINE:Thy1-YFP']","[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000004', 'Missing:or', u'HBP_NEUROTRANSMITTER:0000008', u'Missing:YFP', 'MOUSE_LINE:Thy1-YFP']"
medial vestibular nucleus gabaergic neuron GIN,MV,MV,"[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000003', u'Missing:GIN', 'MOUSE_LINE:GIN']","[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000003', u'Missing:GIN', 'MOUSE_LINE:GIN']"
medial vestibular nucleus glutamatergic or glycinergic neuron Thy1-YFP,MV,MV,"[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000004', 'Missing:or', u'HBP_NEUROTRANSMITTER:0000008', u'Missing:YFP', 'MOUSE_LINE:Thy1-YFP']","[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000004', 'Missing:or', u'HBP_NEUROTRANSMITTER:0000008', u'Missing:YFP', 'MOUSE_LINE:Thy1-YFP']"
medial vestibular nucleus gabaergic neuron GIN,MV,MV,"[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000003', u'Missing:GIN', 'MOUSE_LINE:GIN']","[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000003', u'Missing:GIN', 'MOUSE_LINE:GIN']"
medial vestibular nucleus glutamatergic neuron Thy1-YFP,MV,MV,"[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000004', u'Missing:YFP', 'MOUSE_LINE:Thy1-YFP']","[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000004', u'Missing:YFP', 'MOUSE_LINE:Thy1-YFP']"
medial vestibular nucleus glycinergic neuron Thy1-YFP,MV,MV,"[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000008', u'Missing:YFP', 'MOUSE_LINE:Thy1-YFP']","[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000008', u'Missing:YFP', 'MOUSE_LINE:Thy1-YFP']"
medial vestibular nucleus non-glycinergic neuron GIN,MV,MV,"[u'ABA_REGION:202', 'Missing:non-', u'HBP_NEUROTRANSMITTER:0000008', u'Missing:GIN', 'MOUSE_LINE:GIN']","[u'ABA_REGION:202', 'Missing:non-', u'HBP_NEUROTRANSMITTER:0000008', u'Missing:GIN', 'MOUSE_LINE:GIN']"
medial vestibular nucleus glycinergic neuron GIN,MV,MV,"[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000008', u'Missing:GIN', 'MOUSE_LINE:GIN']","[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000008', u'Missing:GIN', 'MOUSE_LINE:GIN']"
Nucleus Tractus Solitarius Neurons,ts,ts,"['Missing:Nucleus', u'ABA_REGION:237']","['Missing:Nucleus', u'ABA_REGION:237']"
thalamus medial portion of the posterior complex nucleus neurons receiving inputs from cortex layer 6,TH posterior,TH posterior CTX,"[u'ABA_REGION:549', 'Missing:medial portion of the', u'UNKN_REGION:7300', 'Missing:complex nucleus', 'Missing:receiving inputs from cortex', u'HBP_LAYER:0000006']","[u'ABA_REGION:549', 'Missing:medial portion of the', u'UNKN_REGION:7300', 'Missing:complex nucleus', 'Missing:receiving inputs from', u'ABA_REGION:688', u'HBP_LAYER:0000006']"
thalamus ventroposteromedial nucleus neurons receiving inputs from cortex layer 6,TH,TH CTX,"[u'ABA_REGION:549', 'Missing:ventroposteromedial nucleus', 'Missing:ventroposteromedial nucleus', 'Missing:receiving inputs from cortex', u'HBP_LAYER:0000006']","[u'ABA_REGION:549', 'Missing:ventroposteromedial nucleus', 'Missing:ventroposteromedial nucleus', 'Missing:receiving inputs from', u'ABA_REGION:688', u'HBP_LAYER:0000006']"
Medial vestibular nucleus GABAergic neurons  GIN,MV,MV,"[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000003', u'Missing:GIN', 'MOUSE_LINE:GIN']","[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000003', u'Missing:GIN', 'MOUSE_LINE:GIN']"
Medial vestibular nucleus non-GABAergic neurons expressing Thy1 Thy1-YFP,MV,MV,"[u'ABA_REGION:202', 'Missing:non-', u'HBP_NEUROTRANSMITTER:0000003', u'NCBI_GENE:21838', u'Missing:YFP', 'MOUSE_LINE:Thy1-YFP']","[u'ABA_REGION:202', 'Missing:non-', u'HBP_NEUROTRANSMITTER:0000003', u'NCBI_GENE:21838', u'Missing:YFP', 'MOUSE_LINE:Thy1-YFP']"
Neocortex pyramidal cell layer 2-3,Isocortex,Isocortex,"[u'ABA_REGION:315', u'HBP_MORPHOLOGY:0000001', u'HBP_LAYER:0000111']","[u'ABA_REGION:315', u'HBP_MORPHOLOGY:0000001', u'HBP_LAYER:0000111']"
Stellate-like “Sag” neurons in layer II of medial entorhinal cortex,,CTX,"[u'HBP_MORPHOLOGY:0000013', 'Missing:-like \xe2\x80\x9cSag', 'Missing:rons', u'HBP_LAYER:0000002', 'Missing:r II of medial entorhinal cortex']","[u'HBP_MORPHOLOGY:0000013', 'Missing:-like \xe2\x80\x9cSag', 'Missing:rons', u'HBP_LAYER:0000002', 'Missing:r II of medial entorhi', u'ABA_REGION:688', 'Missing:rtex']"
"Pyramidal like ""Sag"" neurons in layer III of mEC",,,"[u'HBP_MORPHOLOGY:0000001', 'Missing:like ""Sag""', 'Missing:in', u'HBP_LAYER:0000003', 'Missing:of m', 'Species:EC']","[u'HBP_MORPHOLOGY:0000001', 'Missing:like ""Sag""', 'Missing:in', u'HBP_LAYER:0000003', 'Missing:of m', 'Species:EC']"
Medial entorhinal cortex layer 2/3 cell with Intermediate Sag,medial entorhinal cortex,medial entorhinal cortex,"[u'UNKN_REGION:2841', u'HBP_LAYER:0000111', 'Missing:with Intermediate Sag']","[u'UNKN_REGION:2841', u'HBP_LAYER:0000111', 'Missing:with Intermediate Sag']"
Layer 2/3 frontal and parietal cortex pyramidal neurons,parietal cortex,parietal cortex,"[u'HBP_LAYER:0000111', 'Missing:frontal and', u'UNKN_REGION:4903', u'HBP_MORPHOLOGY:0000001']","[u'HBP_LAYER:0000111', 'Missing:frontal and', u'UNKN_REGION:4903', u'HBP_MORPHOLOGY:0000001']"
Layer 2/3 frontal and parietal cortex pyramidal neurons,parietal cortex,parietal cortex,"[u'HBP_LAYER:0000111', 'Missing:frontal and', u'UNKN_REGION:4903', u'HBP_MORPHOLOGY:0000001']","[u'HBP_LAYER:0000111', 'Missing:frontal and', u'UNKN_REGION:4903', u'HBP_MORPHOLOGY:0000001']"
