,Label,Id,Definition,Neurotransmitter,Synonym,"Located in","Has role",Species,CellSomaShape,MolecularConstituents,ExampleImage
":Category:Mushroom body medial lobe arborizing neuron 7","Mushroom body medial lobe arborizing neuron 7",nlx_148583,"A neuron, which is part of a cluster of approximately two neurons per brain hemisphere, whose cell body is found in the inferior neuropils, anterior to the medial lobe. The cell body fibers project mediodorsally and bifurcate in the inferior neuropils. One branch arborizes here and the other runs ventromedially in the anterior surface of the medial lobe and innervates the gamma lobe.",,MB-M7,,,,,,
":Category:Mushroom body medial-vertical lobe arborizing neuron 1","Mushroom body medial-vertical lobe arborizing neuron 1",nlx_148589,"A neuron whose cell body is located in the inferior neuropils, ventrolateral to the calyx of each brain hemisphere. The cell body fiber projects towards the anterior of the inferior neuropils. On the way there it bifurcates with one branch turning ventrally and terminating in the ventral complex. The second branch further branches in the inferior neuropil close to the beta lobe. One of these branches runs medially to the opposite hemisphere. Another turns ventrolaterally and arborizes in the basal segments of the gamma lobe and the alpha lobe. The final branch arborizes in the anterior region of the inferior neuropil.",,MB-MV1,,,,,,
":Category:Mushroom body medial-vertical lobe arborizing neuron 2","Mushroom body medial-vertical lobe arborizing neuron 2",nlx_148590,"A neuron whose cell body is located in front of the ventral complex, ventral to the junction of the lobes in each brain hemisphere. The cell body fiber runs dorsomedially to the opposite hemisphere. The fiber from the opposite hemisphere runs laterally and bifurcates behind the tip of the beta' lobe. One of the fibers runs ventrally and enters the medial-most part of the beta lobe where it arborizes through the tip of the beta-p lobe to the lateral part of the beta lobe segment. The other fiber runs dorsolaterally towards the tip region of the vertical lobe and terminates in the superior neuropils. On the way, the fiber bifurcates and one of the branches terminates in the tip of the alpha' lobe.",,MB-MV2,,,,,,
":Category:Mushroom body pedunculus-medial lobe and vertical lobe arborizing neuron 1","Mushroom body pedunculus-medial lobe and vertical lobe arborizing neuron 1",nlx_148593,"A neuron, which is part of a cluster of at least seven neurons, whose cell body is located on the inferior neuropils, near the junction of the mushroom body lobes of each brain hemisphere. The cell body fiber bifurcates in front of the vertical lobes. One of these branches turns ventromedially to the tip of the medial lobe, whereas the other runs dorsally. The first branch innervates the medial lobe through the border between the gamma and beta' lobes and bifurcates both medially and laterally at the border between the beta and beta' lobes. One bundle of fibers runs medially to the opposite lobe, whereas the other runs laterally to the basal segments of the beta and alpha lobe as well as the core of the pedunculus. The second of the initial branches diverges in the superior neuropils near the tip of the vertical lobe. One branch turns laterally, runs through the anterior side of the vertical lobe and terminates in the superior intermediate protocerebrum and superior medial protocerebrum. Another branch turns medially and terminates in the anterior dorsal superior medial protocerebrum. Some branches turn laterally, innervating the posterior dorsal superior medial protocerebrum and posterior dorsal superior lateral protocerebrum, and terminate in the anterior dorsal superior lateral protocerebrum.",,MB-MVP1,,,,,,
":Category:Mushroom body pedunculus-medial lobe and vertical lobe arborizing neuron 2","Mushroom body pedunculus-medial lobe and vertical lobe arborizing neuron 2",nlx_148594,"A neuron whose cell body is located on the inferior neuropils in each brain hemisphere. The cell body fiber runs posteriorly and bifurcates laterally and medially. The lateral branch arborizes in the lateral-most spur area of the gamma lobe and the inner core of the pedunculus. The medial branch bifurcates in front of the middle segment of the medial lobe. One of the branches projects to the contralateral medial lobe. On the way to the opposite hemisphere, in the medial segment of the medial lobe, one fiber branches out, turns dorsolaterally and arborizes in the inferior neuropils. Some fibers extend further to the superior neuropils. The other branch turns dorsally, runs along the alpha lobe and terminates in the posterior tip of the alpha' lobe.",,MB-MVP2,,,,,,
":Category:Mushroom body pedunculus-medial lobe arborizing neuron 1","Mushroom body pedunculus-medial lobe arborizing neuron 1",nlx_148591,"A neuron whose cell body is located on the inferior neuropils, lateral to the calyx of each brain hemisphere. The cell body fiber runs anteriormedially and diverges above the ellipsoid body, with most of the branches arborizing in the anterior part of the inferior neuropils. One fiber turns dorsolaterally, runs in front of the anterior surface of the vertical lobe and terminates in the middle of the inferior neuropils. On the way, one fiber branches off and arborizes in the anterior and middle of the superior neuropils. Another fiber turns ventromedially and projects to the opposite hemisphere. A third fiber turns ventrolaterally, runs in front of the anterior surface of the gamma lobe and then below the gamma lobe, and arborizes in the spur of the gamma lobe and inner core of the pedunculus.",,MB-MP1,,,,,,
":Category:Mushroom body pedunculus-vertical lobe arborizing neuron 1","Mushroom body pedunculus-vertical lobe arborizing neuron 1",nlx_148592,"A neuron, which is part of a cluster of at least two neurons, whose cell body is located on the inferior neuropils, near the junction of the mushroom body lobes of each brain hemisphere. The cell body fiber bifurcates near the vertical lobe. One of these fibers turns ventromedially to the tip of the medial lobe, whereas the other runs dorsally. The ventromedially directed branch innervates the medial lobe through the border between the gamma and beta' lobes. One branch runs medially to the opposite medial lobe whereas the other runs laterally to the basal segments of the alpha lobe and the inner core of the pedunculus. From the alpha lobe, one branch runs dorsally, turns dorsolaterally behind the alpha lobe and terminates in the posterior of the superior neuropils where it arborizes and further spreads laterally to the anterior dorsal superior lateral protocerebrum and the inferior neuropils.",,MB-VP1,,,,,,
":Category:Mushroom body ventral lobe arborizing neuron 1","Mushroom body ventral lobe arborizing neuron 1",nlx_148584,"A single neuron whose cell body is located on the superior neuropils lateral to the calyx of each brain hemisphere. The cell body fiber projects anterior-medially and forms branches in the superior neuropils posterior to the vertical lobes. One of these branches projects to the opposite hemisphere and others project to the vertical lobe and form extensive arborizations in the middle segment of both the alpha and alpha' lobes.",,MB-V1,,,,,,
":Category:Mushroom body ventral lobe arborizing neuron 3","Mushroom body ventral lobe arborizing neuron 3",nlx_148586,"A neuron, which is one of approximately two neurons per brain hemisphere, whose cell body is located in the dorsal-most area of the subesophageal ganglion, ventromedial to the antennal lobe. The cell body fiber ascends through the median bundle to the level of the gamma lobe, and then projects towards the tip of the alpha lobe where it forms extensive arborization. On the way to the alpha lobe, several fibers branch off with some arborizing in the superior neuropils, and others arborize in this region before turning anteriorly and terminating in the anterior dorsal superior medial protocerebrum.",,MB-V3,,,,,,
":Category:Mushroom body ventral lobe arborizing neuron 4","Mushroom body ventral lobe arborizing neuron 4",nlx_148587,"One of approximately two neurons per brain hemisphere whose cell body is located in the dorsal-most area of the subesophageal ganglion, ventromedial to the antennal lobe. The cell body fiber ascends through the median bundle to the level of the gamma lobe before making a steep lateral turn and forming extensive branches in the inferior neuropils. Some branches further arborize in the superior neuropils posterior to the vertical lobe. The main fiber further projects towards the vertical lobe and arborizes extensively in the alpha' lobe.",,MB-V4,,,,,,
":Category:Neocortex Cajal-Retzius cell","Neocortex Cajal-Retzius cell",nlx_cell_20081206,"Neurons of the human embryonic marginal zone which display, as a salient feature, radial ascending processes that contact the pial surface, and a horizontal axon plexus located in the deep marginal zone. These cells were first described by Retzius (Retzius, 1893, 1894) (see the cell labelled 'Retzius, 1893' in Fig. 1). There is consensus that homologous elements are present in the non-primate neocortex, where their morphology is much simpler, as initially described in 1891 by Cajal (Fig. 2) (Cajal, 1891). \\nThe definition of these cells has remained somewhat confusing, in part because Cajal and Retzius studied different species and different developmental stages, and also because their original publications have not been generally available. Meyer et al (1999)prefer to define 'Cajal\\u2013Retzius cells' loosely, as the family of Reln-immunoreactive (ir) neurons in the marginal zone, and reserve the term of pioneer neurons for the early, Reln-negative preplate derivatives that settle in the MZ and project to sub-cortical levels. Adapted from Meyer et al. (1999)",,"Cajal-Retzius Cell",":Category:Brain marginal zone",,:Category:Human,,,
":Category:Neocortex Dorsolateral Prefrontal Area layer 1 parvalbumin cell","Neocortex Dorsolateral Prefrontal Area layer 1 parvalbumin cell",nlx_157255,"This neuron stains for Parvalbumin and is one of the subpopulation of DLPFC layer 1 GABAergic neurons",:Category:GABA,"Neocortical interneurons,GABAergic interneurons,Inhibitory interneurons",":Category:Dorsolateral prefrontal cortex layer 1",,:Category:Vertebrata,,:Category:Parvalbumin,
":Category:Neocortex Dorsolateral Prefrontal Area layer 2 parvalbumin cell","Neocortex Dorsolateral Prefrontal Area layer 2 parvalbumin cell",nlx_157279,"This neuron stains for Parvalbumin and is one of the subpopulation of DLPFC layer 2 GABAergic neurons",:Category:GABA,"Neocortical interneurons,GABAergic interneurons,Inhibitory interneurons",":Category:Dorsolateral prefrontal cortex layer 2",,:Category:Vertebrata,,:Category:Parvalbumin,
":Category:Neocortex Dorsolateral Prefrontal Area layer 3 parvalbumin cell","Neocortex Dorsolateral Prefrontal Area layer 3 parvalbumin cell",nlx_157280,"This neuron stains for Parvalbumin and is one of the subpopulation of DLPFC layer 3 GABAergic neurons",:Category:GABA,"Neocortical interneurons,GABAergic interneurons,Inhibitory interneurons",":Category:Dorsolateral prefrontal cortex layer 3",,:Category:Vertebrata,,:Category:Parvalbumin,
":Category:Neocortex Dorsolateral Prefrontal Area layer 4 parvalbumin cell",,,,,,,,,,,
":Category:Neocortex Dorsolateral Prefrontal Area layer 5 parvalbumin cell","Neocortex Dorsolateral Prefrontal Area layer 5 parvalbumin cell",nlx_157282,"This neuron stains for Parvalbumin and is one of the subpopulation of DLPFC layer 5 GABAergic neurons",:Category:GABA,"Neocortical interneurons,GABAergic interneurons,Inhibitory interneurons",":Category:Dorsolateral prefrontal cortex layer 5",,:Category:Vertebrata,,:Category:Parvalbumin,
":Category:Neocortex Dorsolateral Prefrontal Area layer 6 parvalbumin cell","Neocortex Dorsolateral Prefrontal Area layer 6 parvalbumin cell",nlx_157283,"This neuron stains for Parvalbumin and is one of the subpopulation of DLPFC layer 6 GABAergic neurons",:Category:GABA,"Neocortical interneurons,GABAergic interneurons,Inhibitory interneurons",":Category:Dorsolateral prefrontal cortex layer 6",,:Category:Vertebrata,,:Category:Parvalbumin,
":Category:Neocortex Dorsolateral prefrontal area layer 2 Calbindin cell","Neocortex Dorsolateral prefrontal area layer 2 Calbindin cell",nlx_156739,"This neuron stains for Calbindin-28K and is one of the subpopulation of DLPFC layer 2 GABAergic neurons.",:Category:GABA,"Neocortical interneurons,GABAergic interneurons,Inhibitory interneurons",":Category:Dorsolateral prefrontal cortex layer 2",,:Category:Human,"Category:Other ",,
":Category:Neocortex Dorsolateral prefrontal area layer 3 Calbindin cell","Neocortex Dorsolateral prefrontal area layer 3 Calbindin cell",nlx_156749,"This neuron stains for Calbindin-28K and is one of the subpopulation of DLPFC layer 3 GABAergic neurons.",:Category:GABA,"Neocortical interneurons,GABAergic interneurons,Inhibitory interneurons",":Category:Dorsolateral prefrontal cortex layer 3",,:Category:Human,,:Category:Calbindin,
":Category:Neocortex Dorsolateral prefrontal area layer 4 Calbindin cell","Neocortex Dorsolateral prefrontal area layer 4 Calbindin cell",nlx_156750,"This neuron stains for Calbindin-28K and is one of the subpopulation of DLPFC layer 4 GABAergic neurons.",:Category:GABA,"Neocortical interneurons,GABAergic interneurons,Inhibitory interneurons",":Category:Dorsolateral prefrontal cortex layer 4",,:Category:Human,,:Category:Calbindin,
":Category:Neocortex Dorsolateral prefrontal area layer 5 Calbindin cell",,,,,,,,,,,
":Category:Neocortex Martinotti cell","Neocortex Martinotti cell",nifext_55,,:Category:GABA,"Martinotti cell",":Category:Neocortex layer 2,:Category:Neocortex layer 3,:Category:Neocortex layer 5",":Category:Intrinsic neuron role",:Category:Vertebrata,"Category:Oval ",:Category:Somatostatin,
":Category:Neocortex basket cell","Neocortex basket cell",nifext_56,,:Category:GABA,"cortical basket cell,basket cell,cortical basket neuron,Neocortical basket cell,parvalbumin interneuron",":Category:Neocortex,:Category:Neocortex layer 2,:Category:Neocortex layer 3",,:Category:Vertebrata,"Category:Multipolar ",:Category:Parvalbumin,"File:Neocortex basket cell.gif"
":Category:Neocortex bipolar cell","Neocortex bipolar cell",nifext_81,,,"Bipolar dendrite cell,Cortical bipolar cell",:Category:Neocortex,":Category:Intrinsic neuron role",:Category:Vertebrata,"Category:Fusiform ",,
":Category:Neocortex bouquet double cell","Neocortex bouquet double cell",sao910084726,"Type of inhibitory cortical interneuron that provides inhibitory innervation of pyramidal neurons.  Most commonly described in primates; may be absent in rodent (DeFelipe et al., 2001).",,"Double Bouquet Cell",:Category:Neocortex,":Category:Intrinsic neuron role",:Category:Vertebrata,"Category:Fusiform ",,
":Category:Neocortex candelabrum cell","Neocortex candelabrum cell",nifext_134,,,"candelabrum neuron,candelabrum cell",:Category:Neocortex,,:Category:Vertebrata,,,
":Category:Neocortex chandelier cell","Neocortex chandelier cell",nifext_57,"Type of cortical interneuron characterized by a bitufted appearance, with groups of dendrites extending from the upper and lower poles of an elongate cell body, but some cells have a more multipolar configuration.",,"Cortical chandelier cell,Chandelier cell,Chandelier-type cell",:Category:Neocortex,,:Category:Vertebrata,,,"File:Chandelier cell.jpeg"
":Category:Neocortex dorsolateral prefrontal area layer 1 calbindin cell",,,,,,,,,,,
":Category:Neocortex dorsolateral prefrontal area layer 5 calbindin cell","Neocortex dorsolateral prefrontal area layer 5 calbindin cell",nlx_156753,"This neuron stains for Calbindin-28K and is one of the subpopulation of DLPFC layer 5 GABAergic neurons",:Category:GABA,"Neocortical interneurons,GABAergic interneurons,Inhibitory interneurons",":Category:Dorsolateral prefrontal cortex layer 5",,:Category:Human,,:Category:Calbindin,
":Category:Neocortex dorsolateral prefrontal area layer 6 calbindin cell","Neocortex dorsolateral prefrontal area layer 6 calbindin cell",nlx_156754,"This neuron stains for Calbindin-28K and is one of the subpopulation of DLPFC layer 6 GABAergic neurons",:Category:GABA,"Neocortical interneurons,GABAergic interneurons,Inhibitory interneurons",":Category:Dorsolateral prefrontal cortex layer 6",,:Category:Human,,:Category:Calbindin,
":Category:Neocortex polymorphic cell layer 5-6","Neocortex polymorphic cell layer 5-6",nifext_51,,,"polymorphic cell,Layer 5-6 polymorphic cell,Neocortex polymorphic neuron layer 5-6",":Category:Neocortex layer 5,:Category:Neocortex layer 6",":Category:Principal neuron role",,,,
":Category:Neocortex primary motor area pyramidal layer 2-3 cell","Neocortex primary motor area pyramidal layer 2-3 cell",nlx_151707,"This basic neuron type in the neocortex has a pyramidal-shaped cell body with apical and basal dendrites, with an axon that projects to other cortical areas as well giving rise to local collaterals.",:Category:Glutamate,"Superficial cortical pyramidal cell",":Category:Neocortex layer 2,:Category:Neocortex layer 3",":Category:Principal neuron role",:Category:Mammal,"Category:Pyramidal ",,
":Category:Neocortex primary motor area pyramidal layer 5 callosal cell","Neocortex primary motor area pyramidal layer 5 callosal cell",nlx_152138,"This is a basic type of neocortical cell with a pyramidal shaped cell body and apical and basal spiny dendrites.  Its axon gives off local collaterals and projects through the corpus callosum to the contralateral neocortex.  It belongs to the group termed intra-telencepalic pyramidal cells.",:Category:Glutamate,,":Category:Neocortex layer 5",":Category:Principal neuron role",:Category:Mammal,"Category:Pyramidal ",,
":Category:Neocortex primary motor area pyramidal layer 5 corticopontine-tectal cell","Neocortex primary motor area pyramidal layer 5 corticopontine-tectal cell",nlx_152139,"This is a basic type of necortical cell with a pyramidal-shaped cell body and apical and basal spiny dendrites.  Its axon projects subcortically to the midbrain tectum, and gives off local collaterals with the necortex.  It belongs to the group termed infra-telencenphalic pyramidal cells.",:Category:Glutamate,,":Category:Neocortex layer 5",":Category:Principal neuron role",:Category:Mammal,"Category:Pyramidal ",,
":Category:Neocortex primary motor area pyramidal layer 5 corticospinal cell","Neocortex primary motor area pyramidal layer 5 corticospinal cell",nlx_151709,"This is a basic type of neocortical cell with a pyramidal-shaped cell body and apical and basal spiny dendrites.  It has an axon that projects subcortically to the spinal cord, giving off collaterals to the thalamus, and local collaterals within the cortex.  It belongs to the group termed infra-telencephalic pyramidal cells.",:Category:Glutamate,"Upper motor neuron,corticospinal neuron,Betz cell",":Category:Neocortex layer 5B",":Category:Principal neuron role",:Category:Mammal,"Category:Pyramidal ",":Category:Ctip2,:Category:Fezf2,:Category:HCN1",
":Category:Neocortex primary motor area pyramidal layer 5 corticostriate cell","Neocortex primary motor area pyramidal layer 5 corticostriate cell",nlx_152140,"This is a basic type of  neocortical cell with a pyramidal-shaped cell body and basal and apical spiny dendrites.  Its axon projects to the neostriatum, and gives off local collaterals with the neocortex.  It belongs to the group termed intra-telenchephalic.",:Category:Glutamate,"Cortico-striate cell",":Category:Neocortex layer 5",":Category:Principal neuron role",:Category:Mammal,"Category:Pyramidal ",,
":Category:Neocortex primary motor area stellate layer 4 cell","Neocortex primary motor area stellate layer 4 cell",nlx_151708,"This basic type of neuron in the neocortex is characterized by a spherical cell body giving rise to multiple spiny dendrites radiating in many directions. .",:Category:Glutamate,,":Category:Mostly neocortical layer 4",":Category:Intrinsic neuron role",:Category:Mammal,"Category:Spherical ",,
":Category:Neocortex primary visual area pyramidal layer 2-3 cell","Neocortex primary visual area pyramidal layer 2-3 cell",nlx_152226,,:Category:Glutamate,,":Category:Visual cortex primary layer 2,:Category:Visual cortex primary layer 3",":Category:Principal neuron role",:Category:Rodent,"Category:Pyramidal ",,
":Category:Neocortex primary visual layer 5 callosal cell","Neocortex primary visual layer 5 callosal cell",nlx_143940,"Neuron in lower layer 5 of primary visual cortex with pyramidal or ovoid soma that project via the corpus callosum to the opposite visual cortex.  At the area 17/18 border, callosal neurons are distributed evenly throughout the depth of layer 5.  These neurons do not send projections to either the pontine nuclei or the superior colliculus.  Apical dendrites of these cells were never observed to extend above layer 4.  Basal dendrites were restricted to layer 5 and upper part of layer 6.  2-6 primary basal dendrites originated from the base of the pyramid or ovoid cell body.",,,":Category:Visual cortex primary layer 5",":Category:Principal neuron role",:Category:Rat,"Category:Pyramidal ",,
":Category:Neocortex primary visual layer 5 corticopontine/tectal pyramidal cell","Neocortex primary visual layer 5 corticopontine/tectal pyramidal cell",nlx_143938,"Pyramidal neuron with soma located predominantly in the upper middle part of layer 5. These neurons have medium to large somas with 5 or 6 primary basal dendrites (4-7 primary basal dendrites) and a single apical dendrite ascending to layer 1.   Double labeling experiments show that these cells send collaterals to the pontine nucleus and the superior colliculus.  It is possible that all cells sending projections to these regions send collaterals, but the presence of populations of cells sending projections to only the superior colliculus or the pontine nuclei cannot be ruled out.",,,":Category:Visual cortex primary layer 5",":Category:Principal neuron role",:Category:Rat,"Category:Pyramidal ",,
":Category:Neocortex pyramidal cell","Neocortex pyramidal cell",sao2128417084,"Pyramidal neuron of the cerebral cortex (not including hippocampus or olfactory cortex).
The pyramidal cell of the neocortex is located in layers 2-3 and 5-6, has a pyramidal-shaped cell body which gives off a number of laterally-directed basal dendrites and usually a single apical dendrite which ascends to branch and terminate in layer 1; these dendrites are covered in dendritic spines.",:Category:Glutamate,"Neocortical pyramidal cell,Neocortical pyramidal neuron,Cortical pyramidal neuron,neocortex pyramidal neuron",:Category:Neocortex,":Category:Principal neuron role",:Category:Mammal,"Category:Pyramidal ",,"File:NC Pyramidal Cell.gif"
":Category:Neocortex pyramidal cell layer 5-6","Neocortex pyramidal cell layer 5-6",nifext_50,"The pyramidal cell of layer 5 of the neocortex has a pyramidal-shaped cell body which gives off a number of laterally-directed basal dendrites and usually a single apical dendrite which ascends to branch and terminate in layer 1; these dendrites are covered in dendritic spines.  The axon descends through the internal capsule, giving off collaterals to the thalamus, to the medullary pyramids, where most of the axons cross controlaterally to descend and innervate the ventral horn of the spinal cord.",:Category:Glutamate,"deep pyramidal cell,Neocortex pyramidal neuron layer 5-6,Layer 5-6 pyramidal cell,layer 5 pyramidal neuron,layer 5 pyramidal cell,Tufted layer 5 (TL5) pyramidal neurons",":Category:Neocortex layer 5,:Category:Neocortex layer 6",":Category:Principal neuron role",:Category:Mammal,"Category:Pyramidal ",,
":Category:Neocortex pyramidal layer 2-3 cell","Neocortex pyramidal layer 2-3 cell",nifext_49,"This basic excitatory neuron type has a pyramidal-shaped cell body, with apical and basal dendrites. Typically, there is an axon that projects to other cortical and/or subcortical areas, as well as giving rise to local collaterals.",:Category:Glutamate,"corticocortical cell,superficial pyramidal cell,Neocortex pyramidal neuron layer 2-3,Layer 2-3 pyramidal cell,Neocortical pyramidal neuron: superficial,deep layer (layer 5,6) pyramidal cell",":Category:Neocortex,:Category:Neocortex layer 2,:Category:Neocortex layer 3,:Category:Neocortex layer 5,:Category:Neocortex layer 6,:Category:Neocortex layer 4",":Category:Principal neuron role",:Category:Vertebrata,"Category:Pyramidal ",:Category:?,
":Category:Neocortex stellate cell","Neocortex stellate cell",nifext_52,,,"cortical stellate cell,layer 4 stellate cell,stellate cell cortical",:Category:Neocortex,,:Category:Vertebrata,,,"File:Neocortex stellate cell.JPG"
":Category:Neocortex stellate layer 4 cell","Neocortex stellate layer 4 cell",nifext_53,,,"Cortical stellate cell,cortical stellate neuron,cortical spiny stellate cell",":Category:Neocortex layer 4",,:Category:Vertebrata,,,
":Category:Neocortex stellate smooth cell","Neocortex stellate smooth cell",sao770302354,"A non-pyramidal neuron class found primarily in layer IV of mammalian neocortex characterized by relatively smooth dendrites (While and Rock, 1980).",,"Cortical Smooth Stellate Cell",":Category:Neocortex layer 4",":Category:Intrinsic neuron role",:Category:Vertebrata,"Category:Fusiform ",,
":Category:Neocortex stellate spiny cell","Neocortex stellate spiny cell",sao1236796660,"A non-pyramidal neuron class found primarily in layer IV of mammalian neocortex characterized by a high density of dendritic spines (While and Rock, 1980).",,"Cortical Spiny Stellate Cell",":Category:Neocortex layer 4",,:Category:Vertebrata,,,
":Category:Neostriatum Neurogliaform cell","Neostriatum Neurogliaform cell",nlx_149138,,,,:Category:Striatum,,:Category:Vertebrata,,,
":Category:Neostriatum SOM/NOS cell","Neostriatum SOM/NOS cell",nifext_144,,":Category:GABA,:Category:Somatostatin,:Category:Neuropeptide Y","striatal SOM/NOS interneuron,SOM/NOS interneuron,neostriatum SOM/NOS interneuron,LTS cell,PLTS cell,somatostatin/nitric oxide synthase interneuron",:Category:Striatum,":Category:Intrinsic neuron role",:Category:Vertebrata,"Category:Oval ",":Category:Somatostatin,:Category:Nitric oxide synthase brain",
":Category:Neostriatum cholinergic cell","Neostriatum cholinergic cell",sao1866881837,"Large cholinergic interneuron in the caudate nucleus and putamen, extensive axon collaterals terminate on striatal medium spiny neurons",:Category:Acetylcholine,"Giant cholinergic interneuron,Striatal cholinergic interneuron,large striatal aspiny neuron,cholinergic striatal neuron,Neostriatum cholinergic interneuron,Neostriatum giant cell of Kolliker,Neostriatal cholinergic interneuron,Aspiny type 1 neuron",:Category:Striatum,":Category:Intrinsic neuron role",:Category:Mammal,"Category:Fusiform ",":Category:Choline Acetyltransferase","File:Neostriatum cholinergic cell.JPG"
":Category:Neostriatum direct pathway spiny neuron","Neostriatum direct pathway spiny neuron",nlx_149135,"The principal projection neuron of the caudate and putamen.",:Category:GABA,"Medium spiny neuron,Neostriatal spiny neuron,Medium-sized spiny neuron,Striatal spiny neuron,Striatal medium spiny neuron",":Category:Caudate nucleus,:Category:Putamen,:Category:Nucleus accumbens",":Category:Principal neuron role",:Category:Mammal,"Category:Multipolar ",":Category:Enkephalin,:Category:Substance P",
":Category:Neostriatum gaba/parvalbumin interneuron","Neostriatum gaba/parvalbumin interneuron",nifext_143,"A type of interneuron located in the striatum that stain intensely for GABAergic markers and for parvalbumin.  The cells are medium sized with round somata and smooth, sometimes varicose dendrites.  The axonal arborization banches extensively and often forms baskets on the somata of the spiny neurons.  Intracellular staining studies suggest that these cells may be divided into two subgroups epending on whether their dendrites and axons ramify within 100-150 um of the soma or are more extended (up to 300 um) Adapted from The Basal Ganglia, Chapter 9, Shepherd, G. M. The synaptic organization of the brain, 5th ed, New York: Oxford University Press.",:Category:GABA,"GABA/parvalbumin striatal interneuron,fast-spiking interneuron,FS Cell",:Category:Striatum,":Category:Intrinsic neuron role",:Category:Vertebrata,"Category:Multipolar ",:Category:Parvalbumin,
":Category:Neostriatum indirect pathway spiny neuron","Neostriatum indirect pathway spiny neuron",nlx_149136,"The principal projection neuron of the caudate and putamen.",:Category:GABA,"Medium spiny neuron,Neostriatal spiny neuron,Medium-sized spiny neuron,Striatal spiny neuron,Striatal medium spiny neuron",":Category:Caudate nucleus,:Category:Putamen,:Category:Nucleus accumbens",":Category:Principal neuron role",:Category:Mammal,"Category:Multipolar ",":Category:Enkephalin,:Category:Substance P",
":Category:Neuroendocrine motor magnocellular neurosecretory cell","Neuroendocrine motor magnocellular neurosecretory cell",nlx_cell_20090501,,,"Hypothalamic magnocellular neurosecretory cell,Hypothalamic magnocellular neurosecretory neuron,Magnocellular secretory neuron",:Category:Hypothalamus,":Category:Neuroendocrine motor cell role",:Category:Vertebrata,,,
":Category:Neuron of aristal sensillum","Neuron of aristal sensillum",nlx_147813,"Sensory neuron of aristal sensillum. Each sensillum contains a pair of sensory dendrites. The outer segment of these dendrites is encased in an electron-dense dendritic sheath and each of the pair has a distinct morphology: one is short and cylindrical proximally, but flattened distally, the other is larger and has a plasma membrane that form 2 interdigitating spiral whorls of lamellae and has periodically arranged electron dense particles protruding from the plasma membrane into the extracellular space (Foelix et al., 1989). The inner-segments of these dendrites are delimited from the outer segments by a ciliary region and are rich in vesicles, mitochondria and ribosomes. The somata sit in a small ganglion near the base of the arista. The axons project via the aristal nerve, which merges with the antennal nerve, and innervate glomeruli VP2 and / or VP3 of the adult antennal lobe. (Stocker et al., 1983).",,,,,,,,
":Category:Neurosecretory cell","Neurosecretory cell",nlx_147719,,,,,,,,,
":Category:Neurosecretory neuron","Neurosecretory neuron",nlx_147834,"Any neuron (FBbt_00005106) that functions in (some) hormone secretion (GO:0046879).",,,,,,,,
":Category:Nucleus ambiguus motor neuron","Nucleus ambiguus motor neuron",nlx_53276,"Motor neuron whose soma lies within the nucleus ambiguus and whose axons project through the glossopharyngeal or vagus nerve to innervate the striated muscules of the pharynx and larynx (Heimer, The human brain and spinal cord, 2nd ed, 1995, pg 258 and table 11-1, pg 266).",:Category:Acetylcholine,,":Category:Nucleus ambiguus",,:Category:Vertebrata,,,
":Category:Nucleus laminaris principal neuron","Nucleus laminaris principal neuron",nlx_151646,"The nucleus laminaris (NL) in birds is the third-order auditory neurons located in the brainstem, analogous to the medial superior olive (MSO) in mammals. Neurons in NL and MSO are structurally and biophysically specialized to compute interaural time differences (ITDs), time disparities in the arrival of signals between the two ears, using low-frequency sounds. ITDs are the primary binaural cues for sound localization and segregation in humans and other low-frequency hearing vertebrates. While commonly used laboratory mammals such as mice and rats are high-frequency listeners and have a poorly developed MSO circuit, the structurally and functionally similar circuit in the chicken brainstem provides a particularly useful vertebrate model for basic research of ITD computation, due to its simple anatomy, well-characterized development and cell biology, and importantly, as a genetic tractable system.",:Category:Glutamate,"Analogous to the Medial Superior Olive (MSO) in mammals",":Category:Nucleus laminaris",":Category:Principal neuron role",":Category:Vertebrata,:Category:Aves","Category:Oval ",":Category:Voltage-gated potassium channel - type 1,:Category:Voltage-gated potassium channel - type 3,:Category:Sodium channel,:Category:High-molecular weight neurofilament,:Category:Plasma membrane ATPase,:Category:Microtubule-associated protein 2,:Category:Fragile x mental retardation protein,:Category:Translational elongation factor 2",
":Category:Ocellus retinula cell","Ocellus retinula cell",nlx_147816,,,,,,,,,
":Category:Octopaminergic neuron","Octopaminergic neuron",nlx_148080,"Any neuron (FBbt_00005106) that releases as a neurotransmitter, some octopamine (CHEBI:17134).",,,,,,,,
":Category:Oculomotor nucleus motor neuron","Oculomotor nucleus motor neuron",nlx_77027,"Motor neuron whose cell soma lies within the oculomotor nucleus",,"oculomotor nucleus motor cell,3rd nerve motor neuron,IIIrd nerve motor neuron",":Category:Oculomotor nuclear complex",":Category:Principal neuron role,:Category:Motor role of nerve cell",:Category:Vertebrata,,,
